Fecha,PET
25/05/2015,40.227
02/06/2015,49.5005
10/06/2015,46.8782
18/06/2015,44.5236
26/06/2015,31.9779
04/07/2015,40.408
12/07/2015,48.8475
20/07/2015,52.3437
28/07/2015,56.479
05/08/2015,53.6683
13/08/2015,47.0714
21/08/2015,46.4888
29/08/2015,41.5332
06/09/2015,43.7114
14/09/2015,39.4229
22/09/2015,39.2771
30/09/2015,47.5262
08/10/2015,46.1969
16/10/2015,33.5356
24/10/2015,31.2962
01/11/2015,38.4141
09/11/2015,35.1997
17/11/2015,30.7595
25/11/2015,35.7379
03/12/2015,29.4787
11/12/2015,33.5491
19/12/2015,36.3564
27/12/2015,22.4941
01/01/2016,31.5213
09/01/2016,30.6212
17/01/2016,39.0719
25/01/2016,39.4361
02/02/2016,41.3774
10/02/2016,44.4727
18/02/2016,47.8039
26/02/2016,33.6312
05/03/2016,49.5157
13/03/2016,57.2898
21/03/2016,51.4258
29/03/2016,66.601
06/04/2016,62.928
14/04/2016,56.9727
22/04/2016,60.2327
30/04/2016,67.782
08/05/2016,54.5358
16/05/2016,55.4607
24/05/2016,54.5438
01/06/2016,36.9247
09/06/2016,37.4445
17/06/2016,44.3238
25/06/2016,47.3553
03/07/2016,57.8517
11/07/2016,44.7434
19/07/2016,46.9209
27/07/2016,45.9754
04/08/2016,39.6746
12/08/2016,48.8824
20/08/2016,41.2197
28/08/2016,41.706
05/09/2016,48.6463
13/09/2016,49.5841
21/09/2016,36.1075
29/09/2016,46.7161
07/10/2016,44.3408
15/10/2016,41.756
23/10/2016,36.3451
31/10/2016,35.8549
08/11/2016,24.9121
16/11/2016,30.8776
24/11/2016,38.1942
02/12/2016,37.4696
10/12/2016,34.6979
18/12/2016,36.5984
26/12/2016,27.0521
01/01/2017,42.3783
09/01/2017,40.6967
17/01/2017,45.0785
25/01/2017,45.0959
02/02/2017,47.3158
10/02/2017,47.4102
18/02/2017,53.2678
26/02/2017,49.7027
06/03/2017,44.4568
14/03/2017,50.5711
22/03/2017,60.5789
30/03/2017,66.3239
07/04/2017,56.829
15/04/2017,55.1583
23/04/2017,63.3468
01/05/2017,53.8855
09/05/2017,42.6078
17/05/2017,50.6709
25/05/2017,42.6782
02/06/2017,56.1416
10/06/2017,58.5876
18/06/2017,56.212
26/06/2017,35.0498
04/07/2017,30.2377
12/07/2017,50.0748
20/07/2017,47.2213
28/07/2017,58.2591
05/08/2017,53.4315
13/08/2017,52.8092
21/08/2017,46.2001
29/08/2017,24.5176
06/09/2017,39.4782
14/09/2017,48.9433
22/09/2017,30.0009
30/09/2017,39.1284
08/10/2017,37.4798
16/10/2017,42.8179
24/10/2017,39.6316
01/11/2017,44.751
09/11/2017,37.6867
17/11/2017,40.1203
25/11/2017,36.2308
03/12/2017,36.3152
11/12/2017,38.2848
19/12/2017,38.9784
27/12/2017,20.8803
01/01/2018,35.1073
09/01/2018,38.4165
17/01/2018,37.3283
25/01/2018,29.4039
02/02/2018,40.7242
10/02/2018,43.3882
18/02/2018,48.786
26/02/2018,52.5606
06/03/2018,52.8166
14/03/2018,60.0283
22/03/2018,59.8724
30/03/2018,57.2011
07/04/2018,60.6912
15/04/2018,60.9497
23/04/2018,48.8371
01/05/2018,45.8889
09/05/2018,57.3007
17/05/2018,62.1713
25/05/2018,69.707
02/06/2018,57.4519
10/06/2018,31.428
18/06/2018,28.4269
26/06/2018,49.3203
04/07/2018,46.9976
12/07/2018,55.7024
20/07/2018,58.2554
28/07/2018,50.4112
05/08/2018,42.9715
13/08/2018,48.851
21/08/2018,47.1994
29/08/2018,41.2649
06/09/2018,33.6358
14/09/2018,37.739
22/09/2018,46.5455
30/09/2018,42.3522
08/10/2018,30.9753
16/10/2018,32.9523
24/10/2018,34.5408
01/11/2018,38.6682
09/11/2018,34.3788
17/11/2018,42.38
25/11/2018,33.1804
03/12/2018,33.9655
11/12/2018,34.665
19/12/2018,38.3885
27/12/2018,21.8998
01/01/2019,41.1929
09/01/2019,32.2421
17/01/2019,40.6337
25/01/2019,42.8168
02/02/2019,47.8465
10/02/2019,50.7645
18/02/2019,52.6281
26/02/2019,56.4402
06/03/2019,60.6588
14/03/2019,52.6187
22/03/2019,57.2988
30/03/2019,62.3232
07/04/2019,67.0022
15/04/2019,58.7035
23/04/2019,62.2603
01/05/2019,66.1344
09/05/2019,66.166
17/05/2019,61.1837
25/05/2019,61.0479
02/06/2019,38.1708
10/06/2019,54.0189
18/06/2019,45.6627
26/06/2019,43.5993
04/07/2019,53.6759
12/07/2019,47.3832
20/07/2019,46.106
28/07/2019,57.0187
05/08/2019,46.7309
13/08/2019,58.7032
21/08/2019,44.0217
29/08/2019,50.8924
06/09/2019,41.0072
14/09/2019,46.5557
22/09/2019,41.7465
30/09/2019,42.8897
08/10/2019,45.8425
16/10/2019,30.6879
24/10/2019,25.7415
01/11/2019,35.3462
09/11/2019,33.4069
17/11/2019,37.5237
25/11/2019,40.9242
03/12/2019,41.7405
11/12/2019,37.7672
19/12/2019,34.5632
27/12/2019,23.4456
01/01/2020,42.7873
09/01/2020,42.0138
17/01/2020,31.2884
25/01/2020,38.625
02/02/2020,39.4607
10/02/2020,49.2482
18/02/2020,53.2344
26/02/2020,53.5811
05/03/2020,50.4564
13/03/2020,57.135
21/03/2020,65.7298
29/03/2020,58.0556
06/04/2020,65.628
14/04/2020,62.614
22/04/2020,59.3661
30/04/2020,59.8465
08/05/2020,56.0554
16/05/2020,62.0867
24/05/2020,59.6457
01/06/2020,55.3095
09/06/2020,54.8775
17/06/2020,48.5359
25/06/2020,45.8958
03/07/2020,45.0685
11/07/2020,55.3527
19/07/2020,49.6765
27/07/2020,38.8085
04/08/2020,44.2667
12/08/2020,46.2598
20/08/2020,39.8076
28/08/2020,47.3685
05/09/2020,35.3169
13/09/2020,29.5535
21/09/2020,45.1808
29/09/2020,44.1878
07/10/2020,45.5881
15/10/2020,45.4803
23/10/2020,45.4773
31/10/2020,38.618
08/11/2020,47.4795
16/11/2020,31.8037
24/11/2020,42.1915
02/12/2020,31.3512
10/12/2020,39.6023
18/12/2020,37.4584
26/12/2020,29.3449
01/01/2021,37.79
09/01/2021,33.6262
